KEY LENGTH A
KEY LENGTH AB
2 35 375
2 37 375
2 39 375
2 41 375
2 43 375
2 45 375
2 47 375
2 49 375
2 51 375
2 53 375
2 55 375
2 57 375
2 59 375
2 61 375
2 63 375
2 65 375
2 67 375
2 69 375
2 71 375
2 73 375
2 75 375
2 77 375
2 79 375
2 81 375
2 83 375
2 85 375
2 87 375
2 89 375
2 91 375
2 93 375
2 95 375
2 97 375
2 99 375
KEY LENGTH ABC
3 11 465
3 13 465
3 15 465
3 17 465
3 19 465
3 21 465
3 23 466
3 25 375
3 27 375
3 29 375
3 31 375
3 33 375
3 35 375
3 37 375
3 39 375
3 41 375
3 43 375
3 45 375
3 47 375
3 49 375
3 51 375
3 53 375
3 55 375
3 57 375
3 59 375
3 61 375
3 63 375
3 65 375
3 67 375
3 69 375
3 71 375
3 73 375
3 75 375
3 77 375
3 79 375
3 81 375
3 83 375
3 85 375
3 87 375
3 89 375
3 91 375
3 93 375
3 95 375
3 97 375
3 99 375
KEY LENGTH ABCD
4 6 381
4 8 465
4 10 465
4 12 465
4 14 465
4 16 465
4 18 465
4 20 465
4 22 465
4 24 497
4 26 375
4 28 375
4 30 375
4 32 375
4 34 375
4 36 375
4 38 375
4 40 375
4 42 375
4 44 375
4 46 375
4 48 375
4 50 375
4 52 375
4 54 375
4 56 375
4 58 375
4 60 375
4 62 375
4 64 375
4 66 375
4 68 375
4 70 375
4 72 375
4 74 375
4 76 375
4 78 375
4 80 375
4 82 375
4 84 375
4 86 375
4 88 375
4 90 375
4 92 375
4 94 375
4 96 375
4 98 375
KEY LENGTH ABCDE
5 5 381
5 7 465
5 9 465
5 11 465
5 13 465
5 15 465
5 17 465
5 19 465
5 21 465
5 23 467
5 25 375
5 27 375
5 29 375
5 31 375
5 33 375
5 35 375
5 37 375
5 39 375
5 41 375
5 43 375
5 45 375
5 47 375
5 49 375
5 51 375
5 53 375
5 55 375
5 57 375
5 59 375
5 61 375
5 63 375
5 65 375
5 67 375
5 69 375
5 71 375
5 73 375
5 75 375
5 77 375
5 79 375
5 81 375
5 83 375
5 85 375
5 87 375
5 89 375
5 91 375
5 93 375
5 95 375
5 97 375
5 99 375
KEY LENGTH ABCDEF
6 4 381
6 6 381
6 8 465
6 10 465
6 12 465
6 14 465
6 16 465
6 18 465
6 20 465
6 22 465
6 24 370
6 26 375
6 28 375
6 30 375
6 32 375
6 34 375
6 36 375
6 38 375
6 40 375
6 42 375
6 44 375
6 46 375
6 48 375
6 50 375
6 52 375
6 54 375
6 56 375
6 58 375
6 60 375
6 62 375
6 64 375
6 66 375
6 68 375
6 70 375
6 72 375
6 74 375
6 76 375
6 78 375
6 80 375
6 82 375
6 84 375
6 86 375
6 88 375
6 90 375
6 92 375
6 94 375
6 96 375
6 98 375
KEY LENGTH ABCDEFG
7 3 255
7 5 381
7 7 465
7 9 465
7 11 465
7 13 465
7 15 465
7 17 465
7 19 465
7 21 465
7 23 468
7 25 375
7 27 375
7 29 375
7 31 375
7 33 375
7 35 375
7 37 375
7 39 375
7 41 375
7 43 375
7 45 375
7 47 375
7 49 375
7 51 375
7 53 375
7 55 375
7 57 375
7 59 375
7 61 375
7 63 375
7 65 375
7 67 375
7 69 375
7 71 375
7 73 375
7 75 375
7 77 375
7 79 375
7 81 375
7 83 375
7 85 375
7 87 375
7 89 375
7 91 375
7 93 375
7 95 375
7 97 375
7 99 375
KEY LENGTH ABCDEFGH
8 3 255
8 5 381
8 7 465
8 9 465
8 11 465
8 13 465
8 15 465
8 17 465
8 19 465
8 21 465
8 23 465
8 25 375
8 27 375
8 29 375
8 31 375
8 33 375
8 35 375
8 37 375
8 39 375
8 41 375
8 43 375
8 45 375
8 47 375
8 49 375
8 51 375
8 53 375
8 55 375
8 57 375
8 59 375
8 61 375
8 63 375
8 65 375
8 67 375
8 69 375
8 71 375
8 73 375
8 75 375
8 77 375
8 79 375
8 81 375
8 83 375
8 85 375
8 87 375
8 89 375
8 91 375
8 93 375
8 95 375
8 97 375
8 99 375
